evt_id,evt_start,evt_end,evt_text,$evt_color,$evt_bg,$evt_category
20231002_atg9ii7gjikmi5jh70kffdugvo,2023-10-02,2023-10-02,Mahatma Gandhi Jayanti,#000000,#FFDBDB,1
20231015_2hmf8nsvctr5v9mjcit6tjroe0,2023-10-15,2023-10-15,First Day of Sharad Navratri,#000000,#FFDBDB,1
20231020_dah5dd91o9lroinmttrdqdkbos,2023-10-20,2023-10-20,First Day of Durga Puja Festivities,#000000,#FFDBDB,1
20231021_pcfksadj7kecvhjle73c1j03u4,2023-10-21,2023-10-21,Maha Saptami,#000000,#FFDBDB,1
20231022_erf4sfb2svbdd6pjlcqb0o96i4,2023-10-22,2023-10-22,Maha Ashtami,#000000,#FFDBDB,1
20231023_ulgc14vrv8re10503iaptnc91k,2023-10-23,2023-10-23,Maha Navami,#000000,#FFDBDB,1
20231024_r5akmnailu5rtena6nhbo3ejn8,2023-10-24,2023-10-24,Dussehra,white,#D62246,2
20231028_ava2dd3oaabgk0rmjvbng43n9s,2023-10-28,2023-10-28,Maharishi Valmiki Jayanti,#000000,#FFDBDB,1
20231101_j2a0plvcdb58a6e9ma1ja2noao,2023-11-01,2023-11-01,Karaka Chaturthi (Karva Chauth),#000000,#FFDBDB,1
20231112_fqpf08gculh3mhh1urkb5u0c58,2023-11-12,2023-11-12,Diwali/Deepavali,#000000,#FFDBDB,1
20231112_j3151ns8fvkt8ci2oog9d9u0ps,2023-11-12,2023-11-12,Naraka Chaturdasi,#000000,#FFDBDB,1
20231113_2alkmleq3qq424vlk2htahn8qo,2023-11-13,2023-11-13,Govardhan Puja,white,#D62246,2
20231115_d9k3f3ogj11ml01e601al1rcck,2023-11-15,2023-11-15,Bhai Duj,#000000,#FFDBDB,1
20231119_k3fg8p74ekr1hi45ck2r5445oo,2023-11-19,2023-11-19,Chhat Puja (Pratihar Sashthi/Surya Sashthi),#000000,#FFDBDB,1
20231124_i1fnn5c5kufbh14e5pt888seng,2023-11-24,2023-11-24,Guru Tegh Bahadur's Martyrdom Day,#000000,#FFDBDB,1
20231127_94ga05eptl8tfigjv118i1m1bg,2023-11-27,2023-11-27,Guru Nanak Jayanti,#000000,#FFDBDB,1
20231224_fp8q5erpftb2s6lr50bnntu3v0,2023-12-24,2023-12-24,Christmas Eve,#000000,#FFDBDB,1
20231225_t07g7jettnk0avmbvns4dn4afc,2023-12-25,2023-12-25,Christmas,#000000,#FFDBDB,1
20240101_hq57srvd2vmvlkd8kef9id1194,2024-01-01,2024-01-01,New Year's Day,#000000,#FFDBDB,1
20240115_vasn62a9dftsrug1n2jbpgp8eo,2024-01-15,2024-01-15,Pongal,#000000,#FFDBDB,1
20240117_6uit3jd62gnd37g6opbjjr9nr4,2024-01-17,2024-01-17,Guru Govind Singh Jayanti,#000000,#FFDBDB,1
20240125_gq3utbei676oga1ud83p230agk,2024-01-25,2024-01-25,Hazarat Ali's Birthday,#000000,#FFDBDB,1
20240126_b4h0o1umvgngcgb8s9r91fgfjs,2024-01-26,2024-01-26,Republic Day,#000000,#FFDBDB,1
20240214_n0gmbn3fcriko6884crd2l4sk4,2024-02-14,2024-02-14,Vasant Panchami,#000000,#FFDBDB,1
20240219_kh48thdfi4kssavblahib4upvg,2024-02-19,2024-02-19,Shivaji Jayanti,#000000,#FFDBDB,1
20240224_8khsoun20n0o2833t6fhed9q7c,2024-02-24,2024-02-24,Guru Ravidas Jayanti,#000000,#FFDBDB,1
20240324_tq78j2vb0hgimvkhl098oqpb4o,2024-03-24,2024-03-24,Holika Dahana,#000000,#FFDBDB,1
20240325_f0dg9jc0mc64470s21foo3a23o,2024-03-25,2024-03-25,Dolyatra,#000000,#FFDBDB,1
20240325_hpb8d5mahisva5e5sli9q1e7p8,2024-03-25,2024-03-25,Holi,#000000,#FFDBDB,1
20240329_ds899pmvoukumv7nalsa11sp4g,2024-03-29,2024-03-29,Good Friday,#000000,#FFDBDB,1
20240331_0mn91sbculvn4h1b4pdf8e1vnc,2024-03-31,2024-03-31,Easter Day,#000000,#FFDBDB,1
20240405_2qshql82e5rq9b4lefah9bvt1c,2024-04-05,2024-04-05,Jamat Ul-Vida,#000000,#FFDBDB,1
20240409_fcehf7ein07u8ave7qovsam454,2024-04-09,2024-04-09,Ugadi,#000000,#FFDBDB,1
20240409_hnpauks50gcmtj6nfvnee7svb0,2024-04-09,2024-04-09,Chaitra Sukhladi,#000000,#FFDBDB,1
20240409_ptr4smvrfp78hgrod29nkivpeg,2024-04-09,2024-04-09,Gudi Padwa,#000000,#FFDBDB,1
20240411_0hl80vk0icsvod3lh2ir6tj610,2024-04-11,2024-04-11,Ramzan Id/Eid-ul-Fitar,#000000,#FFDBDB,1
20240413_3ke39sbirj8nor82bjs2r1e054,2024-04-13,2024-04-13,Vaisakhi,#000000,#FFDBDB,1
20240414_t6bil2oac890loodm1fr0d9t9s,2024-04-14,2024-04-14,Ambedkar Jayanti,#000000,#FFDBDB,1
20240417_esv4o79q1i4sbcent3kupgvcg4,2024-04-17,2024-04-17,Rama Navami,#000000,#FFDBDB,1
20240421_uhq0mve2jftnot6ajog0ofq2g8,2024-04-21,2024-04-21,Mahavir Jayanti,#000000,#FFDBDB,1
20240508_1ekflunv2ultlen1u48mjmt9ms,2024-05-08,2024-05-08,Birthday of Rabindranath,#000000,#FFDBDB,1
20240523_tc87280l0ahermrtjqimlg5kuk,2024-05-23,2024-05-23,Buddha Purnima/Vesak,#000000,#FFDBDB,1
